ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
414	50	10	25	72	10	13	4		43
414	50	10	25	72	10	13	4	Eastbourne	43
415	140	105	78	93	14	10	3	Adelaide	82
416	141	4	18	90	5	96	87	Fulica_like	18
417	141	4	18	140	5	96	87	Fulica_like	18
418	111	63	25	141	40	71	4	Hessarek	
419	13	11	25	72	10	23	23	Arechavaleta	51
420	13	11	25	72	10	141	23	Arechavaleta	51
421	142	123	110	142	137	7	139	Arechavaleta	
422	93	4	18	90	5	96	87	Bispebjerg	18
423	20	4	23	14	16	19	140	Paratyphi_B	32
424	143	31	18	143	5	142	22	Birkenhead	
425	127	90	111	33	122	143	95		
425	127	90	111	33	122	143	95	Mississippi	
426	46	124	112	12	36	19	18	Aberdeen	165
427	144	2	108	12	115	19	1	Szentes	
428	13	80	113	49	10	107	23		162
429	10	7	12	9	5	144	2	Typhimurium	1
430	145	26	30	144	21	145	28		126
431	92	125	85	128	138	9	141	Meleagridis	83
432	88	26	30	55	21	68	80		10
433	30	28	31	27	22	29	30		23
434	18	2	18	12	25	7	12	Hvittingfoss	173
434	18	2	18	12	25	7	12	Rhydyfelin	173
435	2	2	3	124	2	2	6	Berta	99
437	13	12	63	16	13	16	4	Javiana	17
438	2	14	15	145	5	20	22	Hvittingfoss	
439	88	26	30	84	21	68	80		10
440	140	105	85	93	14	10	3		82
440	140	105	85	93	14	10	3	Adelaide	82
441	22	11	25	21	10	23	68	Panama	42
442	17	8	3	146	97	19	14	Abony	95
443	5	75	8	96	39	146	97	Monschaui	
444	14	112	43	123	118	147	120		37
445	33	26	30	147	131	145	134		
446	15	126	101	88	8	19	18	Hvittingfoss	
447	13	127	92	113	114	107	4		46
447	13	127	92	113	114	107	4	Poona	46
448	48	128	96	119	116	119	118		80
448	48	128	96	119	116	119	118	Mississippi	80
449	14	72	114	12	6	19	15	Litchfield	61
450	83	46	25	148	33	23	63	Telelkebir	
451	111	109	17	149	41	13	23	Pomona	16
452	30	28	31	150	22	29	30		23
453	14	42	115	12	6	19	15	Litchfield	61
454	30	28	31	151	22	148	30		23
455	146	89	8	33	139	149	4	Lagos	
457	137	2	36	152	2	7	6	Livingstone	
459	14	13	18	12	14	18	7	Thompson	28
460	5	2	3	7	6	6	19	Enteritidis	4
461	2	25	9	9	5	9	12	Heidelberg	26
462	117	14	23	127	6	7	22	Singapore	84
463	92	125	78	128	138	9	141		83
463	92	125	78	128	138	9	141	Meleagridis	83
464	10	129	18	153	8	150	22	Bareilly	233
465	83	63	49	154	33	58	137	Chandans	
466	147	13	15	123	140	7	17	Zanzibar	157
467	136	130	40	94	2	9	95	Agama	167
468	33	86	30	155	135	87	134		
469	92	107	79	156	64	151	87	Rissen	66
470	5	2	3	7	31	6	11	Gallinarum	4
471	13	131	49	157	12	13	4	Johannesburg	38
472	88	68	30	87	21	87	80		10
473	2	5	116	88	5	7	12	Hadar	22
474	161	147	96	178	155	12	142	Napoli	60
475	162	148	117	179	93	162	96	Itami	
476	163	26	30	180	141	163	134		
477	55	149	59	54	57	70	50		
478	119	11	17	42	12	13	4	Muenster	36
479	164	4	8	181	27	9	8	Paratyphi_A	11
480	136	132	80	182	85	98	91		
481	151	77	27	158	18	152	25		215
482	127	133	40	159	76	74	95	Legon	
483	152	4	8	160	36	153	143	Hallfold	
484	153	134	118	161	142	154	103	Westerstede	
485	7	6	8	8	143	8	13	Senftenberg	55
486	102	135	98	162	8	9	144	Sternschanze	
487	130	64	25	163	84	6	126	Kamoru	
488	13	80	119	164	12	15	145	Soahanina	
488	13	80	119	164	12	15	145	Sundsvall	
489	154	136	46	165	124	162	12	Garoli	
490	99	137	120	116	144	19	120	Kapemba	180
491	155	138	121	99	145	19	146	Manchester	
492	13	46	25	49	146	155	4	Bonariensis	
493	17	2	10	166	147	21	119	Infantis	
494	45	77	8	167	27	9	8	Paratyphi_A	11
495	45	8	8	127	27	9	8	Paratyphi_A	11
496	71	139	25	75	36	156	147	Curacao	
497	36	31	35	168	26	6	8	Choleraesuis_var_Kunzendorf	6
498	17	115	8	169	148	157	22	Agbeni	
499	127	46	49	170	149	9	41	Sylvania	182
499	127	46	49	170	149	9	41	Warragul	182
500	127	90	40	171	150	158	148	Yardley	
501	117	14	23	127	151	7	22	Singapore	84
502	14	14	122	172	6	7	33	Kingabwa	85
503	156	140	123	173	152	159	149	Tunis	
504	157	141	17	16	33	13	4	London	
505	157	142	49	16	40	35	3	Bredeney	119
506	158	143	28	174	20	50	60		
507	159	123	110	175	36	162	150	Ndolo	
508	48	144	26	176	153	160	96	Guerin	
508	48	144	26	176	153	160	96	Linguere	
508	48	144	26	176	153	160	96	Ndolo	
509	161	1	124	175	36	161	150	Tarshyne	
510	160	145	3	177	130	7	151	Bangui	
511	5	146	85	119	154	9	152	Zega	
512	13	109	49	13	12	13	4	Urbana	38
513	18	7	128	9	39	9	153	Kunduchi	243
513	18	7	128	9	39	9	153	Typhimurium	243
514	111	109	17	16	41	13	23	Pomona	16
515	13	109	49	157	12	13	4	Johannesburg	38
516	84	11	16	42	40	71	4	Give	67
517	148	37	126	183	114	45	126	Luke	
518	101	41	40	184	76	90	3	Elisabethville	
519	176	154	127	185	156	164	154	Koketime	
520	111	109	17	149	41	58	23	Nima	16
520	111	109	17	149	41	58	23	Pomona	16
521	52	63	48	186	36	165	3	Nima	
522	2	7	9	9	5	7	12	Heidelberg	26
523	101	64	25	163	84	6	101	Wangata	
524	84	150	16	42	40	166	4	Give	67
525	149	151	3	128	84	53	153	Cubana	
526	150	152	36	103	132	167	4	Waycross	
527	178	153	49	187	157	168	126	Sangera	
529	169	84	8	189	158	169	156	Amoutive	118
530	165	157	44	190	159	170	22	Teshie	112
531	179	160	10	122	61	8	157	Takoradi	
532	180	161	132	21	12	13	4	Barranquilla	
533	14	7	3	191	6	19	12		86
533	14	7	3	191	6	19	12	Colorado	86
533	14	7	3	191	6	19	12	Concord	86
534	181	7	3	191	6	19	12		86
534	181	7	3	191	6	19	12	Concord	86
534	181	7	3	191	6	19	12	Garoli	86
535	17	2	10	166	160	171	119	Colindale	
536	111	109	17	149	161	13	23		16
536	111	109	17	149	161	13	23	Oskarshamn	16
536	111	109	17	149	161	13	23	Pomona	16
537	14	117	133	192	27	132	136	Georgia	
538	84	109	25	193	12	23	23	Jukestown	
539	168	14	15	146	5	90	12	Mgulani	168
541	14	162	43	123	118	115	120	Cerro	37
542	161	163	96	178	155	12	33	Napoli	60
543	117	135	18	12	162	162	38	Livingstone	
543	117	135	18	12	162	162	38	Livingstone_var14	
544	4	164	134	195	132	46	158	Molade	
545	45	15	15	12	130	172	18	Cubana	
546	14	14	122	172	6	7	2	Kingabwa	85
547	182	36	3	196	163	173	159	Widemarsh	
548	13	11	25	197	12	71	4	Minnesota	77
548	13	11	25	197	12	71	4	Tonev	77
549	70	112	8	198	164	6	48	Parakou	
550	175	11	125	199	9	174	160	Poano	87
551	177	165	8	196	39	9	153	Apapa	
553	171	156	15	7	5	132	2	Hofit	
553	171	156	15	7	5	132	2	Rubislaw	
554	110	159	78	183	136	9	126	Waycross	
555	172	166	10	122	61	90	86	Takoradi	
556	170	20	3	201	165	9	33	Kodjovi	94
557	175	11	125	199	9	9	160		87
557	175	11	125	199	9	9	160	Poano	87
558	110	167	135	202	166	45	102	Orientalis	
559	84	7	25	197	167	71	3		
560	174	7	35	203	168	8	162		
561	70	110	35	204	156	74	163	Benue	
562	37	4	46	205	8	175	164		
562	37	4	46	205	8	175	164	Rubislaw	
563	173	168	25	206	40	176	165	Wil	
564	11	169	38	149	40	35	23	Abaetetuba	
565	101	64	3	163	76	19	101	Plymouth	
566	2	20	10	207	169	9	139	Bamboye	
567	111	170	8	208	8	9	157	Essen	
568	183	7	12	9	5	9	2		1
568	183	7	12	9	5	9	2	Typhimurium	1
569	10	7	12	209	5	9	2	Typhimurium	1
570	2	171	24	14	2	19	8	Paratyphi_B	5
571	168	4	15	210	170	177	166	Landau	
572	22	11	16	21	184	23	4	Durban	
573	184	25	29	211	129	178	131		
574	29	173	30	212	21	145	132		
575	31	28	136	28	23	29	81		89
576	33	152	30	213	131	87	134		227
577	185	37	98	204	172	179	167	Gwale	
578	139	174	68	132	133	9	168	Havana	58
579	111	46	137	16	40	58	63	Welikade	
580	99	175	46	11	111	180	1	Orion	172
581	25	176	27	214	18	181	169		
582	2	5	116	88	5	19	12	Kottbus	22
583	138	152	135	215	136	9	3	Woodinville	
584	6	18	46	124	2	175	12	Colindale	
585	5	64	40	216	173	103	170		
586	47	98	36	152	174	61	171	Livingstone	156
587	117	70	68	132	175	9	172	Worthington	101
588	186	35	78	75	39	182	97		
588	186	35	78	75	39	182	97	Havana	
589	187	12	17	16	13	16	4	Javiana	17
590	188	112	121	14	176	183	1	Amsterdam	183
591	51	48	138	88	177	2	22	Stanleyville	
592	189	70	68	132	175	9	172		101
592	189	70	68	132	175	9	172	Worthington	101
593	61	177	25	183	136	9	126	Ipswich	
594	43	47	49	16	178	15	3	Bredeney	33
595	190	35	90	75	179	182	173	Havana	
596	31	28	32	28	23	29	81		89
599	14	7	3	12	6	19	12	Concord	86
600	192	11	49	42	161	13	3		
600	192	11	49	42	161	13	3	Butantan	
601	123	73	97	121	6	120	72		
603	14	178	3	12	182	171	143	Infantis	
604	170	20	3	218	165	9	33	Kodjovi	94
605	41	179	131	219	66	9	18	Oakland	207
606	103	2	10	220	184	185	102	Kaneshie	
607	13	177	16	104	40	23	3	Dahomey	160
608	22	104	48	113	114	13	23	Poona	
610	84	37	129	222	8	9	175		
612	169	84	8	189	8	169	156	Vanier	118
613	170	180	79	107	8	172	177	Apeyeme	
614	10	7	21	14	185	12	12	Newport	3
615	169	84	8	189	8	169	176	Vanier	118
616	5	2	130	7	6	6	11	Enteritidis	4
617	13	181	49	13	183	71	4	Cotham	
618	178	182	10	10	39	10	14	Virchow	9
619	5	172	8	224	186	186	22	Anecho	
620	193	183	43	220	187	9	156	Blukwa	
621	39	184	108	223	188	187	85	Herston	
622	150	75	140	225	132	157	178	Egusitoo	
623	179	172	79	226	3	188	179		
625	194	4	79	227	169	189	180	Vancouver	
627	195	172	79	228	2	79	16		
628	169	84	8	189	158	190	156	Amoutive	118
630	36	31	35	543	26	6	8	Choleraesuis_var_Kunzendorf	6
631	72	32	36	33	27	33	3	Decatur	141
632	72	4	141	33	62	74	3	Decatur	144
633	5	133	141	94	189	101	126	Decatur	
634	34	31	35	229	26	6	8	Choleraesuis_var_Kunzendorf	6
635	37	33	37	34	6	191	34	Decatur	142
636	48	14	35	14	26	44	8	Typhisuis	20
637	39	190	40	72	40	165	183	Decatur	
638	47	98	36	152	174	7	171		156
638	47	98	36	152	174	7	171	Livingstone	156
639	99	175	58	11	111	9	2		166
640	5	2	3	7	6	11	11	Enteritidis	4
643	25	176	27	22	18	67	91		212
644	33	26	30	55	21	145	28		126
645	29	26	30	26	21	87	28		219
646	145	26	30	26	131	87	134		
647	7	107	79	235	192	193	105	Apapa	181
648	6	182	10	10	39	10	14	Virchow	9
649	108	191	78	96	95	9	184		99
649	108	191	78	96	95	9	184	Fresno	99
651	41	84	36	20	2	94	84		
652	200	192	144	236	2	65	72		
653	46	124	112	12	113	19	18		165
654	111	47	49	42	12	58	3		239
654	111	47	49	42	12	58	3	Give	239
674	3	3	7	4	3	137	7		54
675	155	41	80	53	55	184	49		
676	3	3	7	4	3	193	7		54
677	3	3	7	4	3	74	7		54
678	19	20	3	20	29	22	22	Derby	57
679	46	122	3	18	6	19	1	Paratyphi_B	155
680	201	14	18	9	6	12	17	Saintpaul	14
681	20	4	145	14	16	19	18	Paratyphi_B	32
682	45	60	12	237	193	2	96	Derby	
683	202	194	8	36	29	8	36	Derby	
684	147	13	15	123	15	19	17		157
684	147	13	15	123	15	19	17	Sinstorf	157
684	147	13	15	123	15	19	17	Uganda	157
684	147	13	15	123	15	19	17	Zanzibar	157
691	10	2	3	7	60	6	11	Enteritidis	4
694	14	7	41	12	36	19	12	Concord	86
695	2	7	9	9	6	9	12	Derby_diphasic	26
696	5	75	54	4	76	109	75	Kentucky	
697	13	80	113	174	10	107	23		162
698	10	37	21	14	15	12	12	Lindenburg	3
699	43	41	16	21	34	13	4	Montevideo	40
713	39	11	8	72	161	58	4	Montevideo	
714	13	10	25	113	114	71	4	Poona	
715	22	10	25	21	10	35	4	Zaiman	
719	99	175	58	157	111	9	2		166
723	62	53	54	60	5	53	187	Kentucky	15
725	10	7	12	9	90	9	2	Typhimurium	1
726	136	133	40	183	2	9	95	Agama	167
727	207	14	3	77	64	64	67	Kentucky	56
728	84	161	8	75	206	197	188	Kentucky	
729	56	25	8	83	207	26	78		
730	79	197	18	46	66	10	34	Abortusovis	71
731	202	193	54	245	64	9	185	Altona	
732	209	46	8	132	113	83	161	Altona	
733	20	4	23	14	16	198	18	Paratyphi_B	32
734	20	4	23	14	16	19	189	Paratyphi_B	32
735	188	199	21	62	36	39	190	Tallahassee	
736	127	90	40	94	150	199	95	Stourbridge	
737	22	200	25	72	10	23	23	Miami	
738	210	11	17	113	209	107	4	Glostrup	
739	5	2	3	7	210	200	11	Blegdam	4
741	2	201	146	9	6	19	17	Kunduchi	
743	41	202	8	78	213	9	67	Mbandaka	
744	213	14	21	98	214	201	191	Doorn	
745	214	2	3	7	6	6	11	Enteritidis	4
746	215	203	3	125	215	101	192	Lovanium	
747	5	2	147	7	31	41	11	Gallinarum_var_Pullorum	4
748	11	41	55	42	34	58	193	Montevideo	39
749	84	204	8	247	216	6	194	Montevideo	208
750	13	205	17	16	217	16	195	Javiana	17
751	217	208	13	249	218	23	4	Grumpensis	
752	218	210	3	252	2	9	12	Niarembe	
754	13	109	49	13	220	13	4	Urbana	38
755	219	7	10	103	2	10	14	Virchow	9
756	220	211	149	92	221	204	198		
757	221	211	150	253	222	205	199		
758	110	169	54	254	40	35	3	Epinay	
759	84	212	38	16	12	13	200	Madelia	
760	208	198	96	244	208	119	201	Albany	
761	162	31	96	244	208	119	202	Duesseldorf	
762	5	2	3	255	31	6	203	Gallinarum	4
763	216	206	25	248	223	35	196	Goettingen	
764	48	209	148	250	219	202	204	Mississippi	
765	161	147	151	251	155	12	142	Napoli	60
766	13	11	25	72	224	203	4	Portedeslilas	
767	71	65	67	75	73	206	64	Senftenberg	30
768	117	4	21	46	66	10	34	Abortusovis	71
769	222	213	8	123	225	180	205	Cerro	
770	188	37	18	46	5	2	34	Istanbul	
771	14	14	45	72	227	12	6	Overvecht	
772	2	14	24	14	228	19	8	Paratyphi_B	5
773	5	188	154	88	5	12	206	Madagascar	
774	224	20	3	20	5	2	22	Derby	57
775	225	25	29	56	232	209	78		
776	226	214	155	54	47	48	50		
777	227	149	156	54	233	210	50		
778	25	215	157	257	234	211	169		
780	228	36	31	38	22	212	208		
781	229	176	27	258	18	213	25		
782	30	28	31	27	22	214	30		23
783	88	26	30	259	21	68	80		10
784	230	38	158	260	236	215	209	Lomita	
785	231	38	158	261	236	216	209	Sanjuan	
786	110	4	25	163	84	19	101	Stanleyville	
787	2	14	21	172	2	12	151	Chincol	
788	232	4	25	86	235	19	101	Eschberg	
807	10	71	43	12	190	20	4	Newport	154
808	10	71	43	12	190	20	18		154
808	10	71	43	12	190	20	18	Kottbus	154
808	10	71	43	12	190	20	18	Newport	154
809	10	13	43	12	190	20	18		154
810	7	13	8	8	7	8	13		55
812	13	127	48	113	114	107	4	Poona	46
813	39	107	79	20	8	35	2	Derby	
814	233	2	3	7	6	6	11	Enteritidis	4
815	1	14	15	31	25	20	33		65
816	234	198	96	267	231	208	142		
817	92	107	93	156	64	151	87		66
818	19	20	3	20	5	87	22		57
819	33	26	30	266	230	27	28		228
820	42	46	48	149	40	35	4	Rubislaw	133
821	117	162	21	66	8	19	2	Bonn	
822	300	83	96	13	12	105	4	Brisbane	
824	204	11	8	241	161	195	186	Bessi	
825	205	81	10	36	88	108	36	Brancaster	
826	19	81	8	20	5	9	185	Brunei	
827	203	195	17	164	12	35	4	Goelzau	161
828	17	5	78	7	5	7	12	Hadar	22
829	114	5	3	238	199	10	12	Hull	
830	11	196	78	74	40	13	4	Javiana	
831	84	11	8	42	40	71	4	Zanzibar	67
832	115	65	8	115	2	116	110	Kentucky	164
833	84	65	3	241	64	9	110	Magherafelt	
834	205	46	8	42	88	108	36	Tamale	
835	76	14	3	77	64	132	67	Molade	56
836	203	14	17	164	12	35	4	Oxford	161
837	42	46	48	239	12	35	4	Rubislaw	
838	13	127	92	157	40	35	137	Poona	
839	13	169	8	104	41	23	4	Moualine	159
840	6	157	44	190	159	170	22		112
841	6	7	8	10	39	10	14	Colindale	9
841	6	7	8	10	39	10	14	Rumford	9
842	197	70	153	4	90	182	139	Tado	
843	156	54	68	49	39	9	14	Tornow	
844	13	11	17	113	59	71	4	Chomedey	
845	42	46	152	239	12	197	4		
846	37	31	35	14	8	6	4		
847	106	70	152	132	34	9	168	Havana	234
848	43	47	25	49	41	15	3	Schwarzengrund	33
849	17	7	35	9	2	9	14	Stanleyville	79
850	121	7	10	103	2	10	14	Chile	9
851	111	104	17	256	226	197	65	Offa	
852	42	11	17	42	40	71	102	Give	
853	13	169	8	104	41	13	4	Moualine	159
854	111	11	17	256	12	197	65	Johannesburg	
855	61	112	8	10	134	137	4		
856	70	7	10	10	2	142	14		9
857	42	36	48	239	12	13	4		
858	125	63	17	62	12	280	3	Lindern	163
859	84	76	38	42	12	13	4	Bahrenfeld	131
860	84	76	38	149	12	13	4	Onderstepoort	131
861	2	15	21	138	5	19	2	Hartford	
862	125	63	208	62	12	58	3	Charity	163
863	48	198	209	119	219	119	118	Mississippi	
864	301	272	48	16	40	13	3	Oranienburg	
865	39	142	17	346	303	58	4	Treforest	171
866	157	11	17	347	33	23	137	Bukavu	
867	302	13	15	123	140	7	269	Zanzibar	157
868	11	10	25	13	10	35	211		21
869	235	25	28	24	237	26	78		
870	26	24	28	24	20	25	27		217
871	145	26	30	268	141	87	28		
872	189	70	152	132	34	9	172		234
872	189	70	152	132	34	9	172	Havana	234
873	11	10	13	264	10	13	4		12
874	56	143	28	263	48	50	78		
875	33	26	30	180	141	87	134		223
876	33	26	159	144	21	87	28		224
877	13	208	49	141	41	19	270	Kingslynn	
878	127	273	40	72	304	282	196	Maybush	
880	86	274	211	53	18	24	236		
881	126	275	3	280	104	149	273	Tumodi	
882	37	276	3	348	306	283	274	Lagos	
885	136	133	40	350	2	9	95	Agama	167
886	117	278	96	12	115	2	22	Farsta	
887	249	90	40	33	309	284	276	Welwyn	
889	111	4	87	352	39	9	278	Kakikoka	
890	1	1	2	353	1	1	5	Typhi	13
892	305	1	2	1	1	1	5	Typhi	13
893	17	281	8	262	64	287	280	Blukwa	
894	306	281	213	262	64	287	280	Blukwa	
895	144	282	46	62	76	2	281	Emmastad	
896	307	2	24	14	2	19	8	Paratyphi_B	5
897	111	63	49	16	41	15	3	Bredeney	33
898	56	24	29	83	20	50	27		
899	157	142	33	16	40	35	3		119
900	15	269	93	78	113	6	68	Mbandaka	62
901	68	113	6	78	15	93	70	Mbandaka	
902	13	109	49	354	12	13	4	Urbana	38
903	13	12	25	355	149	289	4	Rottnest	
904	308	284	45	43	90	290	22	Newport	
905	48	280	212	316	310	291	282	Victoria	
906	84	161	25	356	41	23	283		
907	11	169	214	16	311	35	284	Bullbay	
908	11	169	38	357	311	35	82		
909	81	283	101	12	124	130	17		206
909	81	283	101	12	124	130	17	Bareilly	206
910	145	26	30	26	21	288	28		
911	1	1	2	183	1	1	5	Typhi	13
912	10	10	18	403	90	12	12	Karamoja	
913	10	312	3	394	4	128	8	Godesberg	
914	10	4	263	443	4	128	370	Aprad	
915	101	133	40	33	139	79	324	Agbeni	
916	101	4	25	125	76	90	101	Strasbourg	
917	101	4	8	366	84	10	192	Louisiana	
918	101	64	25	125	84	19	384	Ilugun	
919	103	14	250	425	2	9	141	Apapa	
920	103	4	15	385	8	185	2	Cuckmere	
921	106	101	217	7	105	39	12	Mikawasima	175
922	106	289	122	7	105	39	12	Mikawasima	175
923	106	37	220	210	5	2	2	Neukoelln	
924	11	10	13	13	10	13	355	Goettingen	12
925	11	11	16	113	161	71	4	Lyon	
926	11	169	25	42	12	9	4	Tione	
927	11	300	16	440	161	58	4	Sanktgeorg	
928	110	335	135	277	374	342	354	Bovismorbificans	
929	111	104	17	49	33	314	4	Brazil	
930	111	107	8	49	12	105	304	Patience	
931	111	109	8	120	318	45	4	Florida	81
932	111	11	279	141	40	71	186	Reinickendorf	
933	111	208	25	141	33	71	186	Tyresoe	
934	111	224	25	16	9	222	216	Altendorf	
935	111	321	17	346	33	327	4	Boecker	
936	114	313	79	395	38	42	16	Gamaba	
937	117	124	284	470	193	65	17	Chicago	
938	117	14	15	38	2	19	86	Graz	
939	117	14	26	399	8	323	38	Kimberley	
940	117	14	26	49	8	2	38	Australia	
941	117	213	43	96	71	12	307	Berkeley	
