Categoría	Gen
Aminoglucósidos	Aac
Aminoglucósidos	Aac2-Ia
Aminoglucósidos	Aac2-Ib
Aminoglucósidos	Aac2-Ic
Aminoglucósidos	Aac2-Id
Aminoglucósidos	Aac2-Ie
Aminoglucósidos	Aac3-I
Aminoglucósidos	Aac-IIIa
Aminoglucósidos	Aac3-IIIb
Aminoglucósidos	Aac3-IIIc
Aminoglucósidos	Aac3-IIa
Aminoglucósidos	Aac3-Vb
Aminoglucósidos	Aac3-IIc
Aminoglucósidos	Aac3-IId
Aminoglucósidos	Aac3-IIe
Aminoglucósidos	Aac-IVa
Aminoglucósidos	Aac3-IXa
Aminoglucósidos	Aac3-I
Aminoglucósidos	Aac3-Ib
Aminoglucósidos	Aac3-Ib-Aac6-Ib
Aminoglucósidos	Aac3-Ic
Aminoglucósidos	Aac3-Id
Aminoglucósidos	Aac3-If
Aminoglucósidos	Aac3-Ig
Aminoglucósidos	Aac3-Ih
Aminoglucósidos	Aac3-Ii
Aminoglucósidos	Aac8
Aminoglucósidos	Aac3-VII
Aminoglucósidos	Aac3-VIa
Aminoglucósidos	Aac3-Xa
Aminoglucósidos	Aac6
Aminoglucósidos	Aac6-31
Aminoglucósidos	Aac6-32
Aminoglucósidos	Aac6-33
Aminoglucósidos	Aac6-I30
Aminoglucósidos	Aac6-IIa
Aminoglucósidos	Aac6-IIb
Aminoglucósidos	Aac6-IIc
Aminoglucósidos	Aac6-Ia
Aminoglucósidos	Aac6-Iaa
Aminoglucósidos	Aac6-Iad
Aminoglucósidos	Aac6-Iae
Aminoglucósidos	Aac6-Iaf
Aminoglucósidos	Aac6-Iai
Aminoglucósidos	Aac6-Ib
Aminoglucósidos	Aac6-Ic
Aminoglucósidos	Aac6-Id
Aminoglucósidos	Aac6-If
Aminoglucósidos	Aac6-Ig
Aminoglucósidos	Aac6-Ih
Aminoglucósidos	Aac6-Ii
Aminoglucósidos	Aac6-Ij
Aminoglucósidos	Aac6-Ik
Aminoglucósidos	Aac6-IL
Aminoglucósidos	Aac6-Im
Aminoglucósidos	Aac6-Iq
Aminoglucósidos	Aac6-Ir
Aminoglucósidos	Aac6-Is
Aminoglucósidos	Aac6-It
Aminoglucósidos	Aac6-Iu
Aminoglucósidos	Aac6-Iv
Aminoglucósidos	Aac6-Iw
Aminoglucósidos	Aac6-Iy
Aminoglucósidos	Aac6-Iz
Aminoglucósidos	Aac6-Aph2
Aminoglucósidos-Fluoroquinolonas	Aac6-Ib-cr
Aminoglucósidos	AacA4
Aminoglucósidos	AacA29b
Aminoglucósidos	AacA43
Aminoglucósidos	AadA1-pm
Aminoglucósidos	AadA1
Aminoglucósidos	AadA10
Aminoglucósidos	AadA11
Aminoglucósidos	AadA12
Aminoglucósidos	AadA13
Aminoglucósidos	AadA14
Aminoglucósidos	AadA15
Aminoglucósidos	AadA16
Aminoglucósidos	AadA17
Aminoglucósidos	AadA2
Aminoglucósidos	AadA21
Aminoglucósidos	AadA22
Aminoglucósidos	AadA23
Aminoglucósidos	AadA24
Aminoglucósidos	AadA3
Aminoglucósidos	AadA4
Aminoglucósidos	AadA5
Aminoglucósidos	AadA6
Aminoglucósidos	AadA7
Aminoglucósidos	AadA8
Aminoglucósidos	AadA8b
Aminoglucósidos	AadC
Aminoglucósidos	AadA9
Aminoglucósidos	Aad9
Aminoglucósidos	AadB
Aminoglucósidos	AadD
Aminoglucósidos	AadE-Pp
Aminoglucósidos	AadK-Pm
Aminoglucósidos	Ant3-Ih-Aac6-IId
Aminoglucósidos	Ant4-IIa
Aminoglucósidos	Ant4-IIb
Aminoglucósidos	Ant4-Ib
Aminoglucósidos	Ant6-Ia
Aminoglucósidos	Ant6-Ib
Aminoglucósidos	Aph2-Ib
Aminoglucósidos	Aph2-Ic
Aminoglucósidos	Aph2-Id
Aminoglucósidos	Aph2-Ie
Aminoglucósidos	Aph3-Ia
Aminoglucósidos	StrA
Aminoglucósidos	Aph3-Ic
Aminoglucósidos	Aph3-III
Aminoglucósidos	Aph3-IIb
Aminoglucósidos	Aph3-IIc
Aminoglucósidos	Aph3-IV
Aminoglucósidos	Aph3-Ia
Aminoglucósidos	Aph3-Id
Aminoglucósidos	Aph-VIII
Aminoglucósidos	Aph3-VIIa
Aminoglucósidos	AphA6
Aminoglucósidos	Aph3-VIb
Aminoglucósidos	Aph3-Va
Aminoglucósidos	Aph3-Vb
Aminoglucósidos	Aph3-Vc
Aminoglucósidos	AphA15
Aminoglucósidos	Aph4-Ia
Aminoglucósidos	Aph4-Ib
Aminoglucósidos	Aph6-Ia
Aminoglucósidos	Aph6-Ib
Aminoglucósidos	Aph7
Aminoglucósidos	Aph9-Ia
Aminoglucósidos	Aph9-Ib
Aminoglucósidos	ApmA
Aminoglucósidos	ArmA
Aminoglucósidos	NpmA
Aminoglucósidos	RmtA
Aminoglucósidos	RmtB
Aminoglucósidos	RmtB2
Aminoglucósidos	RmtC
Aminoglucósidos	RmtD
Aminoglucósidos	RmtD2
Aminoglucósidos	RmtE
Aminoglucósidos	RmtF
Aminoglucósidos	RmtG
Aminoglucósidos	RmtH
Aminoglucósidos	Sat-2A
Aminoglucósidos	Sat3
Aminoglucósidos	Sat4A
Aminoglucósidos	Spc
Aminoglucósidos	Sph
Aminoglucósidos	Str
Aminoglucósidos	AphA2
Aminoglucósidos	Aph3-Ib
Aminoglucósidos	StrB
Aminoglucósidos	APH-Stph
Aminoglucósidos	aph3-Ic
Aminoglucósidos	aph3-Ib
Aminoglucósidos	aph6-Id
Betalactámicos	AMPH
Betalactámicos	PBP1a
Betalactámicos	PBP1b
Betalactámicos	Penicillin_Binding_Protein_Ecoli
Betalactámicos	AmpC1
Betalactámicos	AmpC2
Betalactámicos	Nps1
Betalactámicos	AmpH
Betalactámicos	AmpS
Betalactámicos	BlaA
Betalactámicos	ACC-1
Betalactámicos	ACC-2
Betalactámicos	ACC-3
Betalactámicos	ACC-4
Betalactámicos	ACC-5
Betalactámicos	ACT-1
Betalactámicos	ACT-2
Betalactámicos	ACT-3
Betalactámicos	ACT-4
Betalactámicos	ACT-5
Betalactámicos	ACT-6
Betalactámicos	ACT-7
Betalactámicos	ACT-8
Betalactámicos	ACT-9
Betalactámicos	ACT-10
Betalactámicos	ACT-12
Betalactámicos	ACT-14
Betalactámicos	ACT-15
Betalactámicos	ACT-16
Betalactámicos	ACT-38
Betalactámicos	AER-1
Betalactámicos	OKP-A-1
Betalactámicos	OKP-A-2
Betalactámicos	OKP-A-3
Betalactámicos	OKP-A-4
Betalactámicos	OKP-A-5
Betalactámicos	OKP-A-6
Betalactámicos	OKP-A-7
Betalactámicos	OKP-A-8
Betalactámicos	OKP-A-9
Betalactámicos	OKP-A-10
Betalactámicos	OKP-A-11
Betalactámicos	OKP-A-12
Betalactámicos	OKP-A-13
Betalactámicos	OKP-A-14
Betalactámicos	OKP-A-15
Betalactámicos	OKP-A-16
Betalactámicos	OKP-B-1
Betalactámicos	OKP-B-2
Betalactámicos	OKP-B-3
Betalactámicos	OKP-B-4
Betalactámicos	OKP-B-5
Betalactámicos	OKP-B-6
Betalactámicos	OKP-B-7
Betalactámicos	OKP-B-8
Betalactámicos	OKP-B-9
Betalactámicos	OKP-B-10
Betalactámicos	OKP-B-11
Betalactámicos	OKP-B-12
Betalactámicos	OKP-B-13
Betalactámicos	OKP-B-14
Betalactámicos	OKP-B-17
Betalactámicos	OKP-B-18
Betalactámicos	OKP-B-19
Betalactámicos	OKP-B-20
Betalactámicos	NDM-1
Betalactámicos	NDM-2
Betalactámicos	NDM-3
Betalactámicos	NDM-4
Betalactámicos	NDM-5
Betalactámicos	NDM-6
Betalactámicos	NDM-7
Betalactámicos	NDM-8
Betalactámicos	NDM-9
Betalactámicos	NDM-10
Betalactámicos	NDM-12
Betalactámicos	NDM-13
Betalactámicos	NDM-15
Betalactámicos	NDM-16
Betalactámicos	Lut-1
Betalactámicos	MAL-1
Betalactámicos	MIR-1
Betalactámicos	MIR-2
Betalactámicos	MIR-3
Betalactámicos	MIR-4
Betalactámicos	MIR-6
Betalactámicos	MIR-5
Betalactámicos	MOR
Betalactámicos	Mor-2
Betalactámicos	MOX-1
Betalactámicos	MOX-2
Betalactámicos	MOX-3
Betalactámicos	MOX-4
Betalactámicos	MOX-5
Betalactámicos	MOX-6
Betalactámicos	MOX-7
Betalactámicos	MOX-8
Betalactámicos	TUS-1
Betalactámicos	MUS-1
Betalactámicos	TLA-1
Betalactámicos	TRU-1
Betalactámicos	SLB-1
Betalactámicos	SFB-1
Betalactámicos	SMB-1
Betalactámicos	SRT-1
Betalactámicos	SFH-1
Betalactámicos	SFO-1
Betalactámicos	SED-1
Betalactámicos	ROB-1
Betalactámicos	RAHN-1
Betalactámicos	RAHN-2
Betalactámicos	PME-1
Betalactámicos	PER-1
Betalactámicos	PER-2
Betalactámicos	PER-3
Betalactámicos	PER-4
Betalactámicos	PER-5
Betalactámicos	PER-6
Betalactámicos	PER-7
Betalactámicos	PER-8
Betalactámicos	KPC-1
Betalactámicos	KPC-2
Betalactámicos	KPC-3
Betalactámicos	KPC-4
Betalactámicos	KPC-5
Betalactámicos	KPC-6
Betalactámicos	KPC-7
Betalactámicos	KPC-8
Betalactámicos	KPC-9
Betalactámicos	KPC-10
Betalactámicos	KPC-11
Betalactámicos	KPC-12
Betalactámicos	KPC-13
Betalactámicos	KPC-14
Betalactámicos	KPC-15
Betalactámicos	KPC-16
Betalactámicos	KPC-17
Betalactámicos	KPC-19
Betalactámicos	KPC-22
Betalactámicos	KPC-24
Betalactámicos	L-1
Betalactámicos	LAT-1
Betalactámicos	LCR-1
Betalactámicos	KHM-1
Betalactámicos	JOHN-1
Betalactámicos	PSE-4
Betalactámicos	SCO-1
Betalactámicos	IND-1
Betalactámicos	IND-2
Betalactámicos	IND-3
Betalactámicos	IND-4
Betalactámicos	IND-5
Betalactámicos	IND-6
Betalactámicos	IND-7
Betalactámicos	IND-8
Betalactámicos	IND-9
Betalactámicos	IND-10
Betalactámicos	IND-11
Betalactámicos	IND-12
Betalactámicos	IND-13
Betalactámicos	IND-14
Betalactámicos	IND-15
Betalactámicos	IMP-1
Betalactámicos	IMP-2
Betalactámicos	IMP-3
Betalactámicos	IMP-4
Betalactámicos	IMP-5
Betalactámicos	IMP-6
Betalactámicos	IMP-7
Betalactámicos	IMP-8
Betalactámicos	IMP-9
Betalactámicos	IMP-10
Betalactámicos	IMP-11
Betalactámicos	IMP-13
Betalactámicos	IMP-15
Betalactámicos	IMP-16
Betalactámicos	IMP-18
Betalactámicos	IMP-19
Betalactámicos	IMP-20
Betalactámicos	IMP-21
Betalactámicos	IMP-22
Betalactámicos	IMP-24
Betalactámicos	IMP-25
Betalactámicos	IMP-27
Betalactámicos	IMP-28
Betalactámicos	IMP-29
Betalactámicos	IMP-30
Betalactámicos	IMP-32
Betalactámicos	IMP-33
Betalactámicos	IMP-34
Betalactámicos	IMP-35
Betalactámicos	IMP-37
Betalactámicos	IMP-39
Betalactámicos	IMP-40
Betalactámicos	IMP-41
Betalactámicos	IMP-42
Betalactámicos	IMP-43
Betalactámicos	IMP-44
Betalactámicos	IMP-49
Betalactámicos	IMP-51
Betalactámicos	IMP-52
Betalactámicos	IMI-1
Betalactámicos	IMI-2
Betalactámicos	IMI-3
Betalactámicos	IMI-4
Betalactámicos	IMI-7
Betalactámicos	IMI-8
Betalactámicos	HERA-1
Betalactámicos	HERA-2
Betalactámicos	HERA-3
Betalactámicos	HERA-4
Betalactámicos	HERA-5
Betalactámicos	HERA-6
Betalactámicos	HERA-8
Betalactámicos	GOB-1
Betalactámicos	GOB-2
Betalactámicos	GOB-3
Betalactámicos	GOB-4
Betalactámicos	GOB-5
Betalactámicos	GOB-6
Betalactámicos	GOB-7
Betalactámicos	GOB-8
Betalactámicos	GOB-9
Betalactámicos	GOB-10
Betalactámicos	GOB-11
Betalactámicos	GOB-12
Betalactámicos	GOB-13
Betalactámicos	GOB-14
Betalactámicos	GOB-15
Betalactámicos	GOB-16
Betalactámicos	GOB-18
Betalactámicos	GIM-1
Betalactámicos	GIM-2
Betalactámicos	AIM-1
Betalactámicos	GES-1
Betalactámicos	GES-2
Betalactámicos	GES-3
Betalactámicos	GES-4
Betalactámicos	GES-6
Betalactámicos	IBC-2
Betalactámicos	GES-9
Betalactámicos	GES-10
Betalactámicos	GES-11
Betalactámicos	GES-12
Betalactámicos	GES-13
Betalactámicos	GES-14
Betalactámicos	GES-15
Betalactámicos	GES-16
Betalactámicos	GES-17
Betalactámicos	GES-18
Betalactámicos	GES-19
Betalactámicos	GES-20
Betalactámicos	GES-21
Betalactámicos	GES-22
Betalactámicos	GES-23
Betalactámicos	GES-24
Betalactámicos	GES-26
Betalactámicos	FOX-1
Betalactámicos	FOX-2
Betalactámicos	FOX-3
Betalactámicos	FOX-4
Betalactámicos	FOX-5
Betalactámicos	FOX-7
Betalactámicos	FOX-8
Betalactámicos	FOX-9
Betalactámicos	FOX-10
Betalactámicos	FONA-1
Betalactámicos	FONA-2
Betalactámicos	FONA-3
Betalactámicos	FONA-4
Betalactámicos	FONA-5
Betalactámicos	FONA-6
Betalactámicos	FAR-1
Betalactámicos	ERP-1
Betalactámicos	EBR-1
Betalactámicos	DIM-1
Betalactámicos	DHA-1
Betalactámicos	DHA-2
Betalactámicos	DHA-3
Betalactámicos	DHA-5
Betalactámicos	DHA-6
Betalactámicos	DHA-7
Betalactámicos	DHA-9
Betalactámicos	FRI-1
Betalactámicos	FRI-2
Betalactámicos	FRI-3
Betalactámicos	VCC-1
Betalactámicos	BRO-1
Betalactámicos	BRO-2
Betalactámicos	CMH-1
Betalactámicos	CGA-1
Betalactámicos	CIA-1
Betalactámicos	CIA-2
Betalactámicos	CIA-3
Betalactámicos	CIA-4
Betalactámicos	SFC-1
Betalactámicos	FIM-1
Betalactámicos	LAP-1
Betalactámicos	LAP-2
Betalactámicos	BKC-1
Betalactámicos	POM-1
Betalactámicos	ORN1a
Betalactámicos	ORN1b
Betalactámicos	PLA1a
Betalactámicos	PLA2a
Betalactámicos	SPU-1
Betalactámicos	VHW-1
Betalactámicos	VHH-1
Betalactámicos	SST-1
Betalactámicos	NMC-A
Betalactámicos	CMG
Betalactámicos	AZECL-25
Betalactámicos	CME-1
Betalactámicos	CKO-1
Betalactámicos	CAU-1
Betalactámicos	CGB-1
Betalactámicos	CFE-1
Betalactámicos	CCR-A
Betalactámicos	CEPH-A3
Betalactámicos	CEPH
Betalactámicos	CEP-A-49
Betalactámicos	CEP-A-44
Betalactámicos	CEP-A-29
Betalactámicos	CEP-A
Betalactámicos	BCL-1
Betalactámicos	BIL-1
Betalactámicos	BIC-1
Betalactámicos	BES-1
Betalactámicos	Bla-1
Betalactámicos	BEL-1
Betalactámicos	BEL-2
Betalactámicos	BEL-3
Betalactámicos	AST-1
Betalactámicos	FEZ-1
Betalactámicos	PENA
Betalactámicos	IMIS
Betalactámicos	IMIH
Betalactámicos	MECA
Betalactámicos	MEC-C
Betalactámicos	THIN-B
Betalactámicos	HugA
Betalactámicos	cphA
Betalactámicos	cphA1
Betalactámicos	cphA2
Betalactámicos	cphA4
Betalactámicos	cphA5
Betalactámicos	cphA6
Betalactámicos	cphA7
Betalactámicos	cphA8
Betalactámicos	HugA
Betalactámicos	SPM-1
Betalactámicos	SIM-1
Betalactámicos	TEM-1D
Betalactámicos	TEM-1
Betalactámicos	TEM-2
Betalactámicos	TEM-3
Betalactámicos	TEM-6
Betalactámicos	TEM-7
Betalactámicos	TEM-8
Betalactámicos	TEM-10
Betalactámicos	TEM-11
Betalactámicos	TEM-12
Betalactámicos	TEM-15
Betalactámicos	TEM-16
Betalactámicos	TEM-17
Betalactámicos	TEM-20
Betalactámicos	TEM-21
Betalactámicos	TEM-22
Betalactámicos	TEM-24
Betalactámicos	TEM-26B
Betalactámicos	TEM-28
Betalactámicos	TEM-29
Betalactámicos	TEM-30
Betalactámicos	TEM-33
Betalactámicos	TEM-34
Betalactámicos	TEM-42
Betalactámicos	TEM-43
Betalactámicos	TEM-47
Betalactámicos	TEM-48
Betalactámicos	TEM-49
Betalactámicos	TEM-52
Betalactámicos	TEM-53
Betalactámicos	TEM-54
Betalactámicos	TEM-55
Betalactámicos	TEM-57
Betalactámicos	TEM-59
Betalactámicos	TEM-60
Betalactámicos	TEM-63
Betalactámicos	TEM-67
Betalactámicos	TEM-68
Betalactámicos	TEM-70
Betalactámicos	TEM-71
Betalactámicos	TEM-72
Betalactámicos	TEM-75
Betalactámicos	TEM-76
Betalactámicos	TEM-77
Betalactámicos	TEM-78
Betalactámicos	TEM-79
Betalactámicos	TEM-80
Betalactámicos	TEM-81
Betalactámicos	TEM-82
Betalactámicos	TEM-83
Betalactámicos	TEM-84
Betalactámicos	TEM-85
Betalactámicos	TEM-86
Betalactámicos	TEM-87
Betalactámicos	TEM-88
Betalactámicos	TEM-89
Betalactámicos	TEM-90
Betalactámicos	TEM-91
Betalactámicos	TEM-92
Betalactámicos	TEM-93
Betalactámicos	TEM-94
Betalactámicos	TEM-95
Betalactámicos	TEM-96
Betalactámicos	TEM-97
Betalactámicos	TEM-98
Betalactámicos	TEM-99
Betalactámicos	TEM-101
Betalactámicos	TEM-102
Betalactámicos	TEM-104
Betalactámicos	TEM-105
Betalactámicos	TEM-106
Betalactámicos	TEM-107
Betalactámicos	TEM-108
Betalactámicos	TEM-109
Betalactámicos	TEM-110
Betalactámicos	TEM-111
Betalactámicos	TEM-112
Betalactámicos	TEM-113
Betalactámicos	TEM-114
Betalactámicos	TEM-115
Betalactámicos	TEM-116
Betalactámicos	TEM-117
Betalactámicos	TEM-118
Betalactámicos	TEM-120
Betalactámicos	TEM-121
Betalactámicos	TEM-122
Betalactámicos	TEM-123
Betalactámicos	TEM-124
Betalactámicos	TEM-125
Betalactámicos	TEM-126
Betalactámicos	TEM-127
Betalactámicos	TEM-128
Betalactámicos	TEM-129
Betalactámicos	TEM-130
Betalactámicos	TEM-131
Betalactámicos	TEM-132
Betalactámicos	TEM-133
Betalactámicos	TEM-134
Betalactámicos	TEM-135
Betalactámicos	TEM-136
Betalactámicos	TEM-137
Betalactámicos	TEM-138
Betalactámicos	TEM-139
Betalactámicos	TEM-141
Betalactámicos	TEM-142
Betalactámicos	TEM-143
Betalactámicos	TEM-144
Betalactámicos	TEM-145
Betalactámicos	TEM-146
Betalactámicos	TEM-147
Betalactámicos	TEM-148
Betalactámicos	TEM-149
Betalactámicos	TEM-150
Betalactámicos	TEM-151
Betalactámicos	TEM-152
